metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479538;50315984;mean;0,054214;0,063276;0,1361;0,060938;0,063285;0,077275;0,06787;0,057716;0,069097;0,072445;0,0722216
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479568;50315985;mean;0,054767;0,060292;0,133114;0,065686;0,07005;0,071331;0,06748;0,053482;0,065485;0,070996;0,0712683
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479598;50315986;mean;0,053054;0,058048;0,131821;0,063357;0,068509;0,069637;0,066826;0,048559;0,06202;0,069954;0,0691785
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479628;50315987;mean;0,05379;0,055294;0,133475;0,066588;0,064567;0,071033;0,064878;0,048637;0,066101;0,068331;0,0692694
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479658;50315988;mean;0,054211;0,059397;0,134252;0,076763;0,064922;0,074612;0,067585;0,049186;0,070782;0,072369;0,0724079
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479688;50315989;mean;0,051737;0,05599;0,127488;0,074318;0,069218;0,075758;0,066042;0,051413;0,075078;0,076806;0,0723848
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479718;50315990;mean;0,054596;0,054749;0,119411;0,067756;0,068674;0,072156;0,061532;0,049944;0,064745;0,07142;0,0684983
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479748;50315991;mean;0,057798;0,054904;0,116967;0,065194;0,062084;0,074572;0,061967;0,046164;0,06998;0,07051;0,068014
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479778;50315992;mean;0,056244;0,053766;0,139888;0,066088;0,065451;0,080872;0,059941;0,049406;0,068524;0,072001;0,0712181
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479808;50315993;mean;0,053125;0,057815;0,156815;0,065214;0,069571;0,079677;0,060621;0,045436;0,072793;0,078054;0,0739121
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479838;50315994;mean;0,054434;0,055842;0,150487;0,062875;0,065024;0,076039;0,063535;0,046182;0,068113;0,079265;0,0721796
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479868;50315995;mean;0,053825;0,059659;0,138979;0,060253;0,067017;0,076359;0,063684;0,051877;0,065378;0,075301;0,0712332
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479898;50315996;mean;0,052735;0,058028;0,144206;0,06046;0,063529;0,080444;0,063188;0,052241;0,061344;0,075506;0,0711681
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479928;50315997;mean;0,051885;0,059146;0,150004;0,055596;0,061823;0,076056;0,064686;0,047912;0,062467;0,075907;0,0705482
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479958;50315998;mean;0,05048;0,060585;0,146263;0,063648;0,061172;0,078013;0,064001;0,048693;0,069552;0,072745;0,0715152
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479988;50315999;mean;0,051938;0,057837;0,154846;0,064332;0,06525;0,07215;0,064586;0,049405;0,070624;0,081018;0,0731986
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480018;50316000;mean;0,050139;0,057592;0,161678;0,069188;0,06102;0,068866;0,063468;0,052822;0,069574;0,075868;0,0730215
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480048;50316001;mean;0,050884;0,055387;0,15266;0,063499;0,059833;0,073383;0,067611;0,050633;0,063591;0,07286;0,0710341
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480078;50316002;mean;0,054502;0,058281;0,148279;0,069911;0,066297;0,077205;0,0696;0,049079;0,064521;0,074469;0,0732144
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480108;50316003;mean;0,05369;0,055691;0,161299;0,067823;0,067238;0,070533;0,063285;0,04823;0,071765;0,078954;0,0738508
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480138;50316004;mean;0,056344;0,053574;0,166616;0,066327;0,07414;0,072517;0,063511;0,048711;0,072581;0,082659;0,075698
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480168;50316005;mean;0,05537;0,057001;0,163052;0,073326;0,075641;0,067852;0,06489;0,050983;0,073618;0,078292;0,0760025
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480198;50316006;mean;0,049124;0,057384;0,160874;0,074825;0,068166;0,070367;0,065194;0,054456;0,070242;0,075299;0,0745931
