metric;timestamp;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;min1
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511202981;4,114922;3,806483;3,644391;3,688047;3,926274;3,648345;3,929316;3,834895;3,563483;3,650945;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203011;4,076075;3,848771;3,667146;3,700101;3,918574;3,640051;3,921897;3,835113;3,540536;3,683196;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203041;4,033869;3,85104;3,678058;3,692351;3,88485;3,668514;3,905622;3,834784;3,508696;3,702252;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203071;4,049012;3,835137;3,662835;3,706554;3,881534;3,633211;3,883385;3,824823;3,497654;3,681645;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203101;4,059368;3,835121;3,64556;3,78304;3,884272;3,606658;3,909133;3,783487;3,479848;3,681081;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203131;4,046415;3,913675;3,659255;3,784558;3,867877;3,643559;3,916836;3,787346;3,499934;3,71752;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203161;4,032414;3,904261;3,659515;3,773091;3,836962;3,691783;3,927171;3,775707;3,505155;3,702537;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203191;4,0549;3,87464;3,653337;3,744319;3,83639;3,67238;3,927389;3,847083;3,498529;3,70458;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203221;4,018435;3,852698;3,61775;3,725767;3,813464;3,65524;3,912;3,833711;3,467854;3,664989;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203251;4,002271;3,834672;3,587581;3,732766;3,816438;3,659363;3,927078;3,814993;3,4468;3,698694;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203281;3,994411;3,816872;3,618433;3,747581;3,805808;3,651683;3,89979;3,815463;3,43723;3,66013;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203311;3,998704;3,8363;3,587345;3,79001;3,797875;3,626093;3,893433;3,805044;3,444679;3,681469;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203341;4,016087;3,802149;3,577069;3,795987;3,798641;3,655629;3,914314;3,789477;3,466958;3,668716;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203371;4,040231;3,82035;3,575842;3,795031;3,782995;3,668119;3,894197;3,805737;3,478619;3,691042;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203401;4,052848;3,848222;3,577874;3,820052;3,793141;3,682222;3,900997;3,810687;3,491478;3,672757;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203431;4,100763;3,868751;3,596157;3,795359;3,77908;3,671352;3,945559;3,86253;3,546558;3,672921;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203491;4,066121;3,888456;3,591183;3,813015;3,833908;3,661035;3,894137;3,835081;3,522725;3,745198;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203491;4,066121;3,888456;3,591183;3,825974;3,833908;3,661035;3,894137;3,835081;3,522725;3,745198;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203521;4,055229;3,896249;3,605801;3,799085;3,815258;3,666808;3,862741;3,799181;3,517387;3,712885;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203551;4,037073;3,882147;3,623174;3,824302;3,816925;3,673251;3,901419;3,818801;3,568592;3,715655;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203581;4,008254;3,890986;3,620991;3,823464;3,819671;3,652281;3,924272;3,836382;3,550749;3,726876;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203611;3,996994;3,853977;3,640122;3,832261;3,824141;3,665836;3,931152;3,866883;3,551042;3,719506;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203641;3,954398;3,838015;3,645406;3,829105;3,849152;3,66142;3,939652;3,851175;3,526688;3,712307;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203671;3,964397;3,848742;3,661632;3,844351;3,866012;3,68239;3,954805;3,874185;3,5599;3,725128;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203701;3,962901;3,844842;3,64864;3,837918;3,849907;3,709362;3,960313;3,835634;3,555444;3,728235;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203731;3,994256;3,902757;3,653734;3,853996;3,847029;3,715793;3,934328;3,832086;3,587401;3,735794;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203761;4,013044;3,864139;3,667307;3,850102;3,85228;3,715998;3,973266;3,815638;3,580982;3,757302;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203791;4,000622;3,88614;3,707854;3,847218;3,827535;3,712111;3,951222;3,789932;3,57606;3,735859;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203821;3,98187;3,890801;3,720719;3,85086;3,82488;3,749543;3,99212;3,751817;3,566665;3,723435;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203851;3,97259;3,902113;3,712473;3,863353;3,832966;3,727029;3,980539;3,751088;3,603852;3,694318;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203881;3,938478;3,895386;3,697785;3,836285;3,812928;3,752586;3,968069;3,763573;3,560988;3,704103;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203911;3,955684;3,876789;3,727672;3,833897;3,810345;3,710314;3,968204;3,768829;3,590702;3,714716;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203941;3,962143;3,906423;3,735723;3,801105;3,78468;3,714363;3,969302;3,757742;3,589601;3,713769;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511203971;3,959592;3,907237;3,753559;3,79534;3,794976;3,676709;3,99916;3,727256;3,631249;3,733106;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204001;3,972909;3,87982;3,772809;3,777989;3,81252;3,654379;4,016224;3,762376;3,608658;3,722343;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204031;3,973651;3,898756;3,778339;3,749001;3,812347;3,669614;4,017702;3,763524;3,638979;3,733777;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204061;3,952555;3,921677;3,768472;3,743094;3,801897;3,651984;4,032458;3,720692;3,615699;3,72161;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204091;3,938513;3,934148;3,78616;3,776637;3,863896;3,613947;4,02591;3,744553;3,642524;3,719748;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204121;3,93195;3,912142;3,759254;3,783741;3,847693;3,632289;4,050229;3,737459;3,64645;3,697276;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204151;3,953857;3,899711;3,752869;3,849708;3,880942;3,64558;4,020146;3,729962;3,68517;3,724601;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204181;3,963686;3,894001;3,745562;3,833196;3,857323;3,648633;4,047171;3,732868;3,687269;3,737692;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204211;4,011433;3,909869;3,759411;3,844155;3,84695;3,642772;4,021518;3,78719;3,715137;3,733324;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204241;4,008679;3,930228;3,758506;3,8633;3,872443;3,685003;4,055734;3,839431;3,718985;3,743028;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204271;4,017245;3,958036;3,786378;3,868882;3,88972;3,647053;4,050448;3,901217;3,732932;3,752688;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204301;4,017776;3,924759;3,771781;3,870123;3,867102;3,660737;4,075814;3,858643;3,739757;3,764222;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204331;4,026831;3,915274;3,786918;3,86774;3,856359;3,678554;4,048246;3,85359;3,75266;3,756665;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204361;3,970166;3,894875;3,781752;3,814222;3,842476;3,686659;4,032594;3,830861;3,714701;3,722855;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204391;3,977663;3,926781;3,758532;3,803554;3,836656;3,681543;3,996527;3,870023;3,725215;3,718899;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204421;3,973763;3,932171;3,729299;3,772918;3,82857;3,705955;3,963438;3,875307;3,716634;3,720413;
