t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508096509,478766,43.388628,0.060073,0.017085,0.716420,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,173.249738,181.116991,174.919732,165.947389,calls/second,milliseconds
1508096539,483859,62.479625,0.058089,0.017085,0.771212,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,173.212099,176.781921,174.463444,166.084525,calls/second,milliseconds
1508096569,489112,62.479625,0.062039,0.017085,0.847869,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,173.232365,176.313193,174.558476,166.391325,calls/second,milliseconds
1508096599,494442,43.388628,0.050618,0.017085,0.501076,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.278624,176.761512,174.799399,166.740103,calls/second,milliseconds
1508096629,499601,43.388628,0.052354,0.017085,0.503244,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.265180,175.019169,174.577385,166.928567,calls/second,milliseconds
1508096659,504835,43.388628,0.053511,0.017085,0.583025,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.277658,175.283977,174.673761,167.212011,calls/second,milliseconds
1508096689,510082,43.388628,0.060527,0.017085,0.766912,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.293985,174.316062,174.465560,167.383034,calls/second,milliseconds
1508096719,515374,43.388628,0.060456,0.017085,0.784342,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,173.325478,175.941793,174.820411,167.736135,calls/second,milliseconds
1508096749,520684,43.388628,0.062121,0.017085,0.783291,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,173.362243,176.269286,175.008266,168.033223,calls/second,milliseconds
1508096779,525935,43.388628,0.056685,0.017085,0.706971,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.378793,175.679007,174.997929,168.259066,calls/second,milliseconds
1508096809,531077,43.388628,0.058508,0.017085,0.709655,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.359112,173.293983,174.510067,168.313280,calls/second,milliseconds
1508096839,536432,43.388628,0.056367,0.017085,0.679415,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.408849,174.988449,174.798368,168.615604,calls/second,milliseconds
1508096869,541550,43.388628,0.055393,0.017085,0.584395,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,173.382184,174.068023,174.640268,168.766657,calls/second,milliseconds
1508096899,546719,43.388628,0.058881,0.017085,0.744181,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.371856,173.126701,174.368406,168.865936,calls/second,milliseconds
1508096929,551909,43.388628,0.063493,0.017085,0.847214,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.367272,173.349120,174.304666,169.024400,calls/second,milliseconds
1508096959,557208,43.388628,0.056571,0.017085,0.684110,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.396762,173.900154,174.366407,169.219802,calls/second,milliseconds
1508096989,562378,43.388628,0.054742,0.017085,0.586993,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.388889,173.493590,174.246331,169.348515,calls/second,milliseconds
