metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511274556	50375818	9283163.997	NULL	NULL	1652661.687	NULL	1732881.755	NULL	1262529.703	NULL	NULL
iostat.sda.write_byte_per_second	1511274586	50375819	7223846.209	NULL	NULL	3610507.628	NULL	3525448.014	NULL	3795650.516	NULL	NULL
iostat.sda.write_byte_per_second	1511274616	50375820	6720573.323	NULL	NULL	812807.950	NULL	999020.698	NULL	2401069.298	NULL	NULL
iostat.sda.write_byte_per_second	1511274646	50375821	3593827.858	NULL	NULL	2986749.150	NULL	2864204.109	NULL	1512117.963	NULL	NULL
iostat.sda.write_byte_per_second	1511274676	50375822	6902951.101	NULL	NULL	3592307.578	NULL	3441560.132	NULL	3748293.807	NULL	NULL
iostat.sda.write_byte_per_second	1511274706	50375823	3482262.381	NULL	NULL	1402613.827	NULL	1112456.052	NULL	7275179.650	NULL	NULL
iostat.sda.write_byte_per_second	1511274736	50375824	1214858.717	NULL	NULL	2265758.667	NULL	2519845.943	NULL	5444529.781	NULL	NULL
iostat.sda.write_byte_per_second	1511274766	50375825	2394193.570	NULL	NULL	947785.431	NULL	1327647.601	NULL	4427691.869	NULL	NULL
iostat.sda.write_byte_per_second	1511274796	50375826	2247174.238	NULL	NULL	3561120.822	NULL	3441723.770	NULL	3428239.468	NULL	NULL
iostat.sda.write_byte_per_second	1511274826	50375827	1967547.737	NULL	NULL	7193147.951	NULL	7580468.706	NULL	3811587.813	NULL	NULL
iostat.sda.write_byte_per_second	1511274856	50375828	5591436.180	NULL	NULL	3354625.120	NULL	2764250.549	NULL	4491637.959	NULL	NULL
iostat.sda.write_byte_per_second	1511274886	50375829	5040611.270	NULL	NULL	3275269.709	NULL	4028671.374	NULL	2495356.769	NULL	NULL
iostat.sda.write_byte_per_second	1511274916	50375830	2356262.978	NULL	NULL	3723423.496	NULL	3004297.500	NULL	3053832.346	NULL	NULL
iostat.sda.write_byte_per_second	1511274946	50375831	2646509.122	NULL	NULL	3866021.541	NULL	3640956.070	NULL	4062058.219	NULL	NULL
iostat.sda.write_byte_per_second	1511274976	50375832	1352732.362	NULL	NULL	1253895.827	NULL	2820729.034	NULL	2732381.144	NULL	NULL
iostat.sda.write_byte_per_second	1511275006	50375833	860293.051	NULL	NULL	4689031.964	NULL	2231453.840	NULL	3173976.277	NULL	NULL
iostat.sda.write_byte_per_second	1511275036	50375834	2433118.184	NULL	NULL	2780883.367	NULL	3450520.601	NULL	2455770.303	NULL	NULL
